CoinMarketCap,Name,Symbol,CoinGecko,Name,Price 2015-01-04,Price 2021-06-30,Return,Dead?,symbol,symbolconsis?,Rank - Return,Max Overall Return,Rank - Overall Max,Max Monthly Return,Rank - Monthly Max,adjusted e-value,pass 5% threshold?,pass 10% threshold?,p-value (Overall Max),p-value (Monthly Max),,,
,Dogecoin,DOGE,,Dogecoin,0.0001581355927,0.263482443,1666.180513,0,doge,1,1,4311.742026,2,1936.652116,1,16.66180513,FALSE,TRUE,0.01159624108,0.05163549983,0.2377902644,FALSE,FALSE
,Monero,XMR,,Monero,0.4057102629,217.7325639,536.6700914,0,xmr,1,2,1336.731001,5,1004.271417,3,10.73340183,FALSE,TRUE,0.01496187339,0.03319155836,0.152852775,FALSE,FALSE
,Syscoin,SYS,,Syscoin,0.0006218537853,0.115541652,185.8019598,0,sys,1,3,1658.147306,4,1282.897547,2,5.574058793,FALSE,FALSE,0.01507706819,0.03897427361,0.1794831629,FALSE,FALSE
,Bitcoin,BTC,,Bitcoin,260.936,35968.99367,137.8460376,0,btc,1,4,243.6485423,19,224.8391496,13,5.513841504,FALSE,FALSE,0.02160143395,0.03421249238,0.1575543499,FALSE,FALSE
,Dash,DASH,,Dash,1.606459176,139.9363327,87.10855201,0,dash,1,5,929.7408757,10,673.5447767,5,4.355427601,FALSE,FALSE,0.01075568501,0.02969364576,0.1367442921,FALSE,FALSE
,BitBay,BAY,,BitBay,0.00677903,0.581792461,85.82237592,0,bay,1,6,1110.27533,7,351.7520796,11,5.149342555,FALSE,FALSE,0.01286682132,0.02584464917,0.1190190078,FALSE,FALSE
,Litecoin,LTC,,Litecoin,1.939972243,144.0776023,74.26786793,0,ltc,1,7,198.2871765,22,131.8524124,20,5.198750755,FALSE,FALSE,0.02292359308,0.0379211871,0.1746335203,FALSE,FALSE
,MonaCoin,MONA,,MonaCoin,0.02100636558,1.499243742,71.37092497,0,mona,1,8,782.9296376,11,488.431555,7,5.709673998,FALSE,FALSE,0.01161139987,0.02924813956,0.1346926603,FALSE,FALSE
,Stellar,XLM,,Stellar,0.00440824505,0.281390665,63.83280916,0,xlm,1,9,198.6194052,21,112.1111476,23,5.744952824,FALSE,FALSE,0.02397502276,0.03878138953,0.1785948988,FALSE,FALSE
,Burst,BURST,,Burst,0.0004044508,0.024501691,60.58015215,0,burst,1,10,301.4874979,17,134.0330992,19,6.058015215,FALSE,FALSE,0.01951110073,0.03926759828,0.1808339729,FALSE,FALSE
,ReddCoin,RDD,,ReddCoin,0.0000306385743,0.001843869,60.18129244,0,rdd,1,11,998.8463399,9,397.3400654,10,6.619942168,FALSE,FALSE,0.01112394436,0.02516735882,0.1158999705,FALSE,FALSE
,Bytecoin,BCN,,Bytecoin,0.000007793200065,0.000422481,54.21149161,0,bcn,1,12,8665.70154,1,833.5091142,4,6.505378994,FALSE,FALSE,0.01153974661,0.02999367322,0.1381259697,FALSE,FALSE
,Unobtanium,UNO,,Unobtanium,1.900773371,77.41050058,40.7257918,0,uno,1,13,2466.506773,3,86.13122842,26,5.294352934,FALSE,FALSE,0.01351438954,0.04465458019,0.2056419413,FALSE,FALSE
,Vertcoin,VTC,,Vertcoin,0.01505303207,0.599004954,39.79297667,0,vtc,1,14,650.7106996,12,473.7260867,9,5.571016734,FALSE,FALSE,0.01280651039,0.0234547166,0.1080129616,FALSE,FALSE
,XRP,XRP,,XRP,0.018855,0.706366184,37.46306995,0,xrp,1,15,180.2413153,25,120.9249536,22,5.619460493,FALSE,FALSE,0.0221924701,0.03758905346,0.1731039883,FALSE,FALSE
,DigitalNote,XDN,,DigitalNote,0.0000521452811,0.001808261,34.67736604,0,xdn,1,16,1239.080672,6,481.4709213,8,5.548378566,FALSE,FALSE,0.01345083258,0.02596210788,0.1195599252,FALSE,FALSE
,GoldCoin,GLC,,GoldCoin,0.004154062339,0.135120201,32.52724441,0,glc,1,17,160.5630547,28,69.29067958,27,5.52963155,FALSE,FALSE,0.02224315288,0.05345168681,0.2461541145,FALSE,FALSE
,Infinitecoin,IFC,,Infinitecoin,0.000003901923508,0.000122557,31.40938047,0,ifc,1,18,168.9797436,27,107.1884615,25,5.653688484,FALSE,FALSE,0.02191803364,0.0373174495,0.1718532058,FALSE,FALSE
,Pandacoin,PND,,Pandacoin,0.00001304127684,0.000360326,27.62965655,0,pnd,1,19,185.7725385,24,60.52376923,28,5.249634744,FALSE,FALSE,0.02242886221,0.05900869389,0.2717450778,FALSE,FALSE
,PotCoin,POT,,PotCoin,0.0008691974639,0.017498751,20.13207784,0,pot,1,20,499.9283626,13,495.9378449,6,4.026415568,FALSE,FALSE,0.01538681993,0.03360636184,0.1547630156,FALSE,FALSE
,Gulden,NLG,,Gulden,0.001206874085,0.023824847,19.74095499,0,nlg,1,21,433.6944072,14,221.1979676,14,4.145600549,FALSE,FALSE,0.01646979307,0.03229169426,0.1487087477,FALSE,FALSE
,MaidSafeCoin,MAID,,MaidSafeCoin,0.039427,0.713913899,18.1072336,0,maid,1,22,32.2462668,42,24.08598169,42,3.983591391,FALSE,FALSE,0.07383652799,0.09885220423,0.4552312238,FALSE,FALSE
,Stealth,XST,,Stealth,0.006357079669,0.097216176,15.29258418,0,xst,1,23,392.4052213,15,162.1899941,16,3.517294362,FALSE,FALSE,0.01698924047,0.03853505287,0.1774604766,FALSE,FALSE
,Viacoin,VIA,,Viacoin,0.03476342599,0.524807423,15.09653919,0,via,1,24,208.5077579,20,139.1369219,18,3.623169406,FALSE,FALSE,0.0239799231,0.03992869382,0.1838784303,FALSE,FALSE
,Curecoin,CURE,,Curecoin,0.007474483226,0.065147026,8.715923767,0,cure,1,25,172.0977745,26,110.7762739,24,2.178980942,FALSE,FALSE,0.02234865533,0.03761334914,0.1732158741,FALSE,FALSE
,MintCoin,MINT,,MintCoin,0.000006844191363,0.0000553,8.079844217,0,mint,1,26,1078.835819,8,251.3304094,12,2.100759496,FALSE,FALSE,0.01158656376,0.03315688442,0.1526930956,FALSE,FALSE
,FairCoin,FAIR,,FairCoin,0.00557954,0.039098898,7.007548651,0,fair,1,27,257.5741731,18,216.5275783,15,1.892038136,FALSE,FALSE,0.02156876013,0.03078899566,0.1417885649,FALSE,FALSE
,Bitswift,BITS,,Bitswift,0.0406489,0.277687249,6.831359496,0,bits,1,28,62.51324712,34,50.58009695,30,1.912780659,FALSE,FALSE,0.04704885134,0.06590207481,0.3034902701,FALSE,FALSE
,VeriCoin,VRC,,VeriCoin,0.009452466353,0.048958563,5.179448534,0,vrc,1,29,361.8913124,16,142.1377486,17,1.502040075,FALSE,FALSE,0.01727037866,0.04138487488,0.1905843919,FALSE,FALSE
,WorldCoin,WDC,,WorldCoin,0.006422958553,0.027065599,4.21388349,0,wdc,1,30,36.81739585,41,30.77651811,38,1.264165047,FALSE,FALSE,0.06624652109,0.08550606465,0.3937699796,FALSE,FALSE
,BitShares,BTS,,BitShares,0.01372631212,0.045112819,3.286594288,0,bts,1,31,67.31022841,32,50.06244073,31,1.018844229,FALSE,FALSE,0.0464268221,0.06443566083,0.2967371842,FALSE,FALSE
,VPNCoin,VASH,,VPNCoin,0.000342359,0.000960504,2.805546225,0,vash,1,32,66.67048624,33,36.74429181,35,0.897774792,FALSE,FALSE,0.04545194135,0.07775746154,0.3580863436,FALSE,FALSE
,BlackCoin,BLK,,BlackCoin,0.02313257695,0.060931708,2.634021628,0,blk,1,33,49.62958666,37,38.87337991,34,0.8692271373,FALSE,FALSE,0.05445748966,0.07566042566,0.3484291365,FALSE,FALSE
