CoinMarketCap,Name,Symbol,CoinGecko,Name,Price 2015-01-04,Price2021-06-30,Return,Dead?,symbol,symbolconsis?,Rank - Return,Max Overall Return,Rank - Overall Max,Max Monthly Return,Rank - Monthly Max,adjusted e-value,pass 5% threshold?,pass 10% threshold?,p-value (Overall Max),p-value (Monthly Max),,,
,GlobalBoost-Y,BSTY,,GlobalBoost-Y,0.000008,0.04646188,5807.735,0,bsty,1,1,130459.0343,2,41915.75,2,11.70914315,FALSE,TRUE,0.001900979886,0.005916630384,0.03672201571,TRUE,TRUE
,Verge,XVG,,Verge,0.000004662148497,0.022815475,4893.768402,0,xvg,1,2,56196.09807,3,53123.10064,1,19.7329371,FALSE,TRUE,0.002942078525,0.009336804403,0.05794958544,FALSE,TRUE
,WhiteCoin,XWC,,WhiteCoin,0.0002298859576,0.972437133,4230.084966,0,xwc,1,3,11308.13743,7,7239.10048,8,25.58519133,TRUE,TRUE,0.006266031281,0.008564600004,0.05315684021,FALSE,TRUE
,Einsteinium,EMC2,,Einsteinium,0.0002546904868,0.597602706,2346.388016,0,emc2,1,4,10136.56337,10,3261.739841,15,18.922484,FALSE,TRUE,0.004893177126,0.01013773884,0.06292064583,FALSE,TRUE
,Dogecoin,DOGE,,Dogecoin,0.0001581355927,0.263482443,1666.180513,0,doge,1,5,4311.742026,19,1936.652116,18,16.79617453,FALSE,TRUE,0.0060544585,0.01422844884,0.08830994806,FALSE,TRUE
,Groestlcoin,GRS,,Groestlcoin,0.0003726565898,0.568875545,1526.540951,0,grs,1,6,6984.015805,14,4321.675686,13,18.46622118,FALSE,TRUE,0.005072808026,0.008828484349,0.05479465843,FALSE,TRUE
,DigiByte,DGB,,DigiByte,0.00004435905683,0.047264404,1065.496144,0,dgb,1,7,3545.177883,21,2854.781216,16,15.03724397,FALSE,TRUE,0.006662302541,0.01085897575,0.06739705748,FALSE,TRUE
,Trollcoin,TROLL,,Trollcoin,0.00000238334,0.002179388,914.4259736,0,troll,1,8,9553.451261,11,1060.116387,22,14.74880603,FALSE,TRUE,0.00471985546,0.02126696166,0.1319950123,FALSE,FALSE
,Monero,XMR,,Monero,0.4057102629,217.7325639,536.6700914,0,xmr,1,9,1336.731001,29,1004.271417,23,9.737965368,FALSE,FALSE,0.01279498138,0.02147349515,0.133276878,FALSE,FALSE
,NavCoin,NAV,,NavCoin,0.000737569,0.35872928,486.3670789,0,nav,1,10,6677.748262,15,4721.682186,12,9.805787881,FALSE,FALSE,0.004951768975,0.008753942283,0.05433200744,FALSE,TRUE
