CoinMarketCap,Name,Symbol,MarketCap,CoinGecko,Name,Return,Rank - Return,Max Return,Rank - Overall Max,adjusted e-value,pass 5% threshold?,pass 10% threshold?,p-value (Max),,,,Return (30%),Max Return (30%)
,BitBay,BAY,170012,,BitBay,29215731058,1,29215731058,1,292157310.6,TRUE,TRUE,0.000000003422813545,0.00000001576263889,TRUE,TRUE,4124814344,4124814344
,Anoncoin,ANC,270543,,Anoncoin,135455.1502,2,135455.1502,2,2709.103004,TRUE,TRUE,0.0003691258688,0.001699887446,TRUE,TRUE,63777.85374,63777.85374
,WorldCoin,WDC,468650,,WorldCoin,22119.45355,3,39928.92518,3,663.5836064,TRUE,TRUE,0.0008348166946,0.003844472953,TRUE,TRUE,9309.161165,12962.8953
,CannabisCoin,CANN,193676,,CannabisCoin,4782.399875,4,7159.534317,4,191.295995,TRUE,TRUE,0.00349184722,0.01608055071,TRUE,TRUE,2207.5535,2778.605431
,Bitswift,BITS,158503,,Bitswift,2816.076036,5,5379.036402,5,140.8038018,TRUE,TRUE,0.003718138065,0.01712265857,TRUE,TRUE,1721.560597,2491.300687
,Infinitecoin,IFC,350207,,Infinitecoin,1711.712273,6,2862.617966,6,102.7027364,TRUE,TRUE,0.005822176365,0.02681211301,TRUE,TRUE,701.2145255,938.5818698
,Maxcoin,MAX,196394,,Maxcoin,383.319232,7,658.8889984,7,26.83234624,TRUE,TRUE,0.02168151892,0.09984708453,FALSE,TRUE,199.6753438,266.5680277
,NuShares,NSR,3525777,,NuShares,362.8156461,8,542.2706098,8,29.02525169,TRUE,TRUE,0.02305122161,0.1061547985,FALSE,FALSE,247.2889945,303.0236545
,Dogecoin,DOGE,15405093,,Dogecoin,289.2496954,9,311.1304748,9,26.03247258,TRUE,TRUE,0.03571206297,0.1644601277,FALSE,FALSE,61.05964169,63.75754463
,GoldCoin,GLC,141863,,GoldCoin,182.1464021,10,216.4996749,13,18.21464021,FALSE,TRUE,0.03553034293,0.163623276,FALSE,FALSE,72.53642424,80.27302819
,Syscoin,SYS,237099,,Syscoin,161.8203221,11,298.1741804,10,17.80023543,FALSE,TRUE,0.03353744441,0.1544456391,FALSE,FALSE,45.77335845,64.54601583
,Pandacoin,PND,427322,,Pandacoin,161.3744933,12,176.0287623,15,19.36493919,FALSE,TRUE,0.03787259865,0.1744097622,FALSE,FALSE,63.23889874,66.56372853
,Digitalcoin,DGC,156313,,Digitalcoin,154.8193014,13,266.8428355,11,20.12650918,TRUE,TRUE,0.03406840237,0.1568907909,FALSE,FALSE,107.9633502,147.7568537
,MintCoin,MINT,162088,,MintCoin,107.2118337,14,242.1015404,12,15.00965672,FALSE,TRUE,0.03442081913,0.1585137301,FALSE,FALSE,55.10458457,87.17660727
,Monero,XMR,2316422,,Monero,99.50947696,15,132.2718848,18,14.92642154,FALSE,TRUE,0.04200103117,0.1934218965,FALSE,FALSE,24.9518397,29.4307947
,ReddCoin,RDD,783704,,ReddCoin,95.48718549,16,177.2263697,14,15.27794968,FALSE,TRUE,0.04030357986,0.1856048443,FALSE,FALSE,40.75979076,57.7090594
,DigitalNote,XDN,365509,,DigitalNote,88.26466311,17,148.7301368,16,15.00499273,FALSE,TRUE,0.04202241816,0.1935203872,FALSE,FALSE,38.78720649,52.38724874
,Vertcoin,VTC,158981,,Vertcoin,85.26831104,18,127.2103281,19,15.34829599,FALSE,TRUE,0.04137366809,0.1905327828,FALSE,FALSE,36.21743402,45.41606716
,Burst,BURST,194685,,Burst,68.43312311,19,68.43312311,22,13.00229339,FALSE,TRUE,0.06642184864,0.3058839171,FALSE,FALSE,24.93463529,24.93463529
,Bytecoin,BCN,1324178,,Bytecoin,62.4338486,20,142.7765242,17,12.48676972,FALSE,TRUE,0.04119972084,0.1897317261,FALSE,FALSE,24.81711391,36.20683511
,Stellar,XLM,15717689,,Stellar,51.57237969,21,67.00824234,23,10.83019973,FALSE,TRUE,0.06488494453,0.2988062121,FALSE,FALSE,20.45769613,23.8386047
,XRP,XRP,586350663,,XRP,48.3428936,22,65.9245055,24,10.63543659,FALSE,TRUE,0.06320360896,0.2910633756,FALSE,FALSE,21.53735004,25.78282368
,MonaCoin,MONA,377575,,MonaCoin,46.29494164,23,68.67275266,21,10.64783658,FALSE,TRUE,0.06934198175,0.319331627,FALSE,FALSE,17.3964712,20.3374271
,Megacoin,MEC,418346,,Megacoin,46.05362364,24,88.23814466,20,11.05286967,FALSE,TRUE,0.05666483605,0.2609512135,FALSE,FALSE,33.99570993,49.24843338
,Stealth,XST,143182,,Stealth,31.86356359,25,47.21528525,28,7.965890898,FALSE,FALSE,0.07564136386,0.3483413537,FALSE,FALSE,14.78279878,18.50025298
,Dash,DASH,8152158,,Dash,31.68876463,26,48.28734652,26,8.239078804,FALSE,FALSE,0.07965138124,0.3668081661,FALSE,FALSE,11.36358493,13.70563595
,Viacoin,VIA,451063,,Viacoin,30.63943961,27,50.63424688,25,8.272648696,FALSE,FALSE,0.07899791636,0.3637988492,FALSE,FALSE,13.88303732,18.45759946
